time_s,x_true_m,y_true_m,heading_true_rad,x_meas_m,y_meas_m,heading_meas_rad,x_kf_m,y_kf_m,heading_kf_rad,x_ekf_m,y_ekf_m,heading_ekf_rad,steering_angle_rad,goal_distance_m
1.0,6.654358011307572,6.476389201486221,0.7695963050944266,6.247471647183633,6.784378912773969,0.8681177234532704,8.308848677571389,6.990405129640585,0.7083456496585407,6.798581657857174,6.558770586718279,0.7105206594535729,-0.45115962374623897,73.35757369183182
1.1,7.372549648661508,7.172234566517039,0.575801872791744,7.31557591983407,6.752156328035775,0.5038523136184558,8.942011729722056,7.491480869067727,0.49027187394259597,7.509276498120733,7.129467581236475,0.48578939345840233,-0.5235987755982988,72.63015840709942
1.2000000000000002,8.211305595006744,7.71674210776005,0.3448617651158936,8.536601988919095,8.088369193361771,0.3922609167568254,9.684777378553012,8.044793429908676,0.31752701794934923,8.384349121896491,7.73189319975777,0.30195634387442327,-0.5235987755982988,71.78874201817885
1.3,9.152427789200141,8.054808692320849,0.11392165744004323,8.819672935555793,8.170889353854209,0.12410441523934024,10.344657644819053,8.325852349478026,0.11112406755497162,9.226995394716386,8.08340296040531,0.0918389779318094,-0.5235987755982988,70.84803250524611
1.4000000000000001,10.14594573215715,8.168484094332335,-0.11701845023580715,10.255290030521657,8.60419848330643,-0.09750605764119813,11.146490621792733,8.474070480704349,-0.09624635452429553,10.219270194490798,8.278843449197767,-0.1215631376250692,-0.5235987755982988,69.85502919279705
1.5,11.13910688253369,8.05173252311058,-0.34795855791165753,11.478563664069638,8.085522057855027,-0.3227281307190255,12.025188928845811,8.302927551578634,-0.3056353644832024,11.261862359703414,8.144549888019839,-0.3326661752182769,-0.49184251189555506,68.86135535175349
1.6,12.079177643500458,7.710753103826419,-0.5622614336926421,12.394821756419727,6.982175193898586,-0.5901580099390924,12.910835521518962,7.7309236979993115,-0.5187499875507298,12.240135397657978,7.609184646760344,-0.5413613376302311,-0.40883316330486547,67.9208802356566
1.7000000000000002,12.925229346707425,7.1776522545487325,-0.7355592936955917,12.690043019561028,6.858213330427062,-0.7595699846718666,13.689539406999577,7.09155961097752,-0.6815737976418128,13.010151996507657,7.0112707059631205,-0.6995215038625107,-0.3016959089451189,67.07765244417543
1.8,13.666684928934986,6.506650302551878,-0.8600374598373066,14.414155584552184,6.0737347447052565,-0.7755392330202344,14.639644835635005,6.334068994138703,-0.7754445133078685,13.895325159636439,6.315257300638411,-0.7844017714772398,-0.22118694957975088,66.34591133094436
1.9000000000000001,14.319094007982171,5.748783299986914,-0.949983882538159,13.477659122174268,5.581340784994026,-0.935780998269184,15.248063406150251,5.527571781493218,-0.8665411817718396,14.36773046817802,5.563286258057184,-0.8807320344087524,-0.14761432871601446,65.71290996700343
2.0,14.90079020756386,4.935377170558189,-1.009462253937687,15.193901373243499,5.2909904604546165,-0.9402296471085241,16.05717525614932,4.786086816534055,-0.9075534324797419,15.043018211506025,4.891169001695753,-0.9188341510090257,-0.08935735253701488,65.16218133101901
2.1,15.433106232506852,4.088831454374537,-1.0453006324360277,15.258743696382632,3.8576555580422536,-0.9704281122828413,16.731563557855054,3.8576273060653463,-0.9394332109447334,15.559094812593255,4.033432448017704,-0.9517787184018589,-0.04259572827630691,64.67342779386816
2.2,15.934748111782291,3.223756067511054,-1.0623492359670457,15.839095949341484,2.585912905842093,-1.1612472022426172,17.388961005652202,2.767128997668408,-1.0156154323637945,16.01040615983962,3.0414874831346843,-1.02726799230825,-0.0068024120592918725,64.22844564599055
2.3000000000000003,16.42156947763289,2.3502545175688936,-1.0650702427604353,15.961843334632084,2.598834889595776,-1.052641252590396,17.949597992362957,1.921974540348603,-1.013013278031135,16.40986651353134,2.2504570715417964,-1.0326145615377778,0.01916352930743214,63.811521436799666
2.4000000000000004,16.906012240583106,1.4754315586651159,-1.0574038925488152,17.25125491761699,1.2618052354968488,-1.0435686945268987,18.642173606463867,0.9703914554432654,-1.0087837561351973,16.98006147842043,1.3671840480283715,-1.0237182486460457,0.03724109336676289,63.410126658899884
2.5,17.39714740102475,0.6043481790865812,-1.0425005647613519,17.709942598008418,0.449674909226462,-1.0026394055765717,19.29242284054152,0.06407286710571328,-0.9879999218713835,17.54291675158161,0.5047082884750845,-1.0018857462846111,0.0496699531191242,63.014968535166155
2.6,17.901209580231914,-0.2593191871447267,-1.022616228580171,17.57024660969859,-0.44084611042726257,-1.0559291442296708,19.79969515160263,-0.8502005093818373,-0.9884446300830922,17.950230445800383,-0.38140168726754076,-1.0084172769200528,0.05864056259752215,62.61951055407066
2.7,18.42234443353841,-1.1127935363018744,-0.9991330800788605,17.82442461074389,-0.8693072959090835,-1.0400961618443807,20.261163509836493,-1.6532326186547726,-0.9764001353704894,18.335005806594154,-1.180885445122904,-1.004475452243498,0.06608000858323612,62.219251634471384
2.8000000000000003,18.963376024242837,-1.9537958061322447,-0.972662536953679,18.96962308360668,-1.7134224766792903,-0.9336953407810542,20.8463926050092,-2.4233868246526717,-0.9328074777288244,18.90988993324782,-1.9551991021795563,-0.9591257321764242,0.07356131809812373,61.810959782554306
2.9000000000000004,19.526477265571692,-2.780183724735792,-0.9431848199189266,19.859169820058085,-2.829426466990504,-0.980124566235451,21.48670569409952,-3.270675018505659,-0.9163458606121866,19.54367181960773,-2.7895646089729578,-0.9368500029233724,0.09483103796206228,61.39197860189389
3.0,20.113690376696386,-3.5896160950566594,-0.9051382864155917,20.073831271243186,-4.433283312035674,-1.0314226728678841,22.04997773620626,-4.298856428820643,-0.9237269667586077,20.066627362183574,-3.787313098035688,-0.9406272201066952,0.11738119400366057,60.95966124071197
